competency,n
data,171
open,160
research,93
science,71
management,69
fair,61
artificial,41
intelligence,41
access,34
high,22
performance,22
infrastructure,21
and,20
computing,17
skills,16
knowledge,15
sharing,14
NA,13
analytics,12
software,10
stewardship,10
reproducibility,8
curation,7
digital,7
big,6
interoperability,6
learning,6
machine,6
principles,6
reproducible,6
code,5
rigorous,5
transparent,5
activities,4
collaboration,4
source,4
storage,4
supercomputer,4
analysis,3
development,3
integrity,3
practices,3
repositories,3
repository,3
robotics,3
technology,3
transparency,3
computer,2
existing,2
handling,2
humanities,2
information,2
planning,2
plans,2
processing,2
rda,2
replicability,2
replicable,2
reusing,2
robust,2
scientific,2
sensitive,2
services,2
sources,2
tools,2
trustworthiness,2
accessibility,1
advice,1
agriculture,1
algorithms,1
archiving,1
aspects,1
assessment,1
bioinofrmatic,1
blockchain,1
business,1
certification,1
certifying,1
citation,1
communication,1
communications,1
competences,1
content,1
curators,1
domain,1
e,1
economy,1
education,1
engineering,1
eschange,1
escience,1
exchange,1
expertise,1
findable,1
free,1
good,1
guidance,1
hardware,1
hpc,1
implementing,1
infrastructures,1
innovation,1
intellingence,1
language,1
legal,1
licences,1
literacy,1
materials,1
metadata,1
methods,1
mining,1
mobility,1
monitoriing,1
of,1
openaire,1
operating,1
platform,1
policy,1
precision,1
predictive,1
publications,1
rdm,1
reporting,1
researchers,1
reuse,1
robus,1
rsearch,1
scholarship,1
scolarship,1
sensor,1
specific,1
standards,1
statistical,1
statistics,1
streamlining,1
support,1
sustainable,1
technical,1
training,1
trainings,1
transformation,1
vision,1
visualization,1
warehouses,1
waste,1
with,1
